Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,CTR,CPC,CPL,ROAS
A1015,data analytics course,102,5461,201.69,22,8,0.078,1755,29-11-2024,Hyderabad,desktop,data analytics course,0.018677898,1.977352941,9.167727273,8.701472557
A1016,data analytics course,193,5159,215.57,15,9,0.047,1614,10-11-2024,Pune,mobile,learn data analytics,0.037410351,1.116943005,14.37133333,7.487127151
A1017,data analytics course,149,4431,207.4,19,9,0.06,1693,,Hyderabad,mobile,learn data analytics,0.033626721,1.391946309,10.91578947,8.162970106
A1018,data analytics course,150,3113,217.41,20,5,0.046,1785,,Hyderabad,mobile,analytics for data,0.048185031,1.4494,10.8705,8.210293915
A1019,data analytics course,145,5278,215.57,25,6,0.041,1516,05-11-2024,Hyderabad,desktop,data analytics course,0.027472527,1.486689655,8.6228,7.032518439
A1020,data analytics course,184,4143,223.3,10,10,0.044,1735,,Delhi,tablet,learn data analytics,0.044412262,1.213586957,22.33,7.769816391
A1021,data analytics course,171,4154,184.23,30,7,0.041,1803,,Hyderabad,tablet,data analitics online,0.041165142,1.077368421,6.141,9.786679694
A1022,data analytics course,122,5187,211.24,27,6,0.049,1322,20-11-2024,Hyderabad,desktop,online data analytic,0.023520339,1.73147541,7.823703704,6.258284416
A1023,data analytics course,188,5798,230.17,28,5,0.047,1452,,Hyderabad,tablet,data analytics course,0.032424974,1.224308511,8.220357143,6.308380762
A1024,data analytics course,87,3718,215.57,12,3,0.034,1652,,Delhi,tablet,learn data analytics,0.023399677,2.477816092,17.96416667,7.663403999
A1025,data analytics course,88,3349,181.92,22,8,0.091,1456,20-11-2024,Hyderabad,tablet,learn data analytics,0.0262765,2.067272727,8.269090909,8.00351803
A1026,data analytics course,119,5323,205.92,17,10,0.06,1656,02-11-2024,Delhi,desktop,online data analytic,0.022355814,1.730420168,12.11294118,8.041958042
A1027,data analytics course,139,5286,234.89,22,10,0.046,1688,21-11-2024,Hyderabad,desktop,data anaytics training,0.026295876,1.689856115,10.67681818,7.186342543
A1028,data analytics course,128,5469,188.49,16,3,0.046,1783,23-11-2024,Delhi,mobile,learn data analytics,0.023404644,1.472578125,11.780625,9.459387766
A1029,data analytics course,86,3351,237.75,21,9,0.105,1975,,Hyderabad,mobile,analytics for data,0.025663981,2.764534884,11.32142857,8.307045216
A1030,data analytics course,188,4834,213.58,15,4,0.021,1590,08-11-2024,Delhi,tablet,online data analytic,0.038891187,1.13606383,14.23866667,7.444517277
A1031,data analytics course,113,5065,212.37,11,5,0.046,1111,,Hyderabad,desktop,online data analytic,0.02230997,1.879380531,19.30636364,5.231435702
A1032,data analytics course,139,3872,244.38,20,4,0.046,1041,,Hyderabad,tablet,data analitics online,0.03589876,1.758129496,12.219,4.259759391
A1033,data analytics course,176,5509,234.59,19,7,0.054,1710,,Delhi,tablet,data analytics course,0.031947722,1.332897727,12.34684211,7.28931327
A1034,data analytics course,121,5610,214.96,23,8,0.046,1505,25-11-2024,Hyderabad,mobile,data analytics course,0.021568627,1.776528926,9.346086957,7.001302568
A1035,data analytics course,104,5275,236.48,16,9,0.031,1824,,Hyderabad,desktop,data anaytics training,0.01971564,2.273846154,14.78,7.713125846
A1036,data analytics course,146,5939,242.9,11,8,0.035,1833,07-11-2024,Hyderabad,desktop,data anaytics training,0.024583263,1.66369863,22.08181818,7.546315356
A1037,data analytics course,123,5131,215.57,19,5,0.041,1307,,Pune,mobile,learn data analytics,0.023971935,1.752601626,11.34578947,6.062995779
A1038,data analytics course,90,5786,197.55,11,6,0.043,1704,,Hyderabad,mobile,online data analytic,0.015554787,2.195,17.95909091,8.625664389
A1039,data analytics course,171,4304,192.61,17,10,0.058,1427,26-11-2024,Pune,mobile,learn data analytics,0.039730483,1.126374269,11.33,7.40875344
A1040,data analytics course,94,5549,231.23,25,9,0.096,1849,,Delhi,mobile,data anaytics training,0.016939989,2.459893617,9.2492,7.996367253
A1041,data analytics course,112,4271,196.07,27,6,0.046,1209,14-11-2024,Hyderabad,desktop,data analitics online,0.026223367,1.750625,7.261851852,6.166165145
A1042,data analytics course,113,4418,191.55,27,10,0.046,1634,,Delhi,mobile,data analytics course,0.025577184,1.695132743,7.094444444,8.530409815
A1043,data analytics course,145,3721,180.95,21,7,0.048,1960,,Pune,desktop,data analitics online,0.038968019,1.247931034,8.616666667,10.83172147
A1044,data analytics course,197,5783,204.46,23,6,0.046,1729,,Pune,tablet,data anaytics training,0.034065364,1.03786802,8.889565217,8.456421794
A1045,data analytics course,109,4866,236.78,27,5,0.046,1585,,Hyderabad,mobile,online data analytic,0.022400329,2.172293578,8.76962963,6.693977532
A1046,data analytics course,188,5857,222.98,20,4,0.048,1303,,Hyderabad,desktop,data anaytics training,0.032098344,1.18606383,11.149,5.843573415
A1047,data analytics course,142,5103,234.1,24,3,0.021,1835,08-11-2024,Delhi,mobile,analytics for data,0.027826769,1.648591549,9.754166667,7.838530543
A1048,data analytics course,168,4653,240.84,27,9,0.054,1367,24-11-2024,Pune,mobile,online data analytic,0.036105738,1.433571429,8.92,5.675967447
A1049,data analytics course,110,3524,248.86,19,10,0.091,1524,,Delhi,mobile,learn data analytics,0.031214529,2.262363636,13.09789474,6.123925098
A1050,data analytics course,192,5938,182.84,26,5,0.039,1080,,Pune,mobile,analytics for data,0.032334119,0.952291667,7.032307692,5.906803763
A1051,data analytics course,101,3942,206.62,16,5,0.05,1746,24-11-2024,Hyderabad,tablet,analytics for data,0.025621512,2.045742574,12.91375,8.450295228
A1052,data analytics course,157,3315,189.56,15,10,0.064,1026,25-11-2024,Hyderabad,mobile,online data analytic,0.047360483,1.207388535,12.63733333,5.41253429
A1053,data analytics course,113,4945,187.66,15,10,0.046,1564,,Hyderabad,tablet,learn data analytics,0.022851365,1.660707965,12.51066667,8.334221464
A1054,data analytics course,96,3166,196.15,29,7,0.073,1902,,Hyderabad,desktop,learn data analytics,0.030322173,2.043229167,6.763793103,9.696660719
A1055,data analytics course,125,4223,183.68,15,6,0.046,1267,05-11-2024,Hyderabad,desktop,data analitics online,0.029599811,1.46944,12.24533333,6.897865854
A1056,data analytics course,104,4798,210.1,18,3,0.046,1340,,Hyderabad,desktop,analytics for data,0.021675698,2.020192308,11.67222222,6.377915278
A1057,data analytics course,194,5655,208.58,13,6,0.031,1692,16-11-2024,Pune,mobile,data anaytics training,0.034305924,1.075154639,16.04461538,8.111995397
A1058,data analytics course,144,5140,219.48,19,8,0.047,1054,,Delhi,desktop,data analitics online,0.028015564,1.524166667,11.55157895,4.802259887
A1059,data analytics course,179,3025,238.81,17,3,0.017,1505,11-11-2024,Hyderabad,mobile,data analitics online,0.059173554,1.334134078,14.04764706,6.302081152
A1060,data analytics course,166,5223,189.76,18,7,0.042,1219,,Delhi,tablet,data analytics course,0.0317825,1.14313253,10.54222222,6.423903879
A1061,data analytics course,166,5089,215.57,26,7,0.042,1946,,Delhi,tablet,analytics for data,0.032619375,1.298614458,8.291153846,9.027230134
A1062,data analytics course,118,5016,204.31,19,9,0.045,1833,,Hyderabad,desktop,analytics for data,0.023524721,1.731440678,10.75315789,8.971660712
A1063,data analytics course,185,3617,222.32,24,7,0.038,1963,,Hyderabad,mobile,data analytics course,0.05114736,1.20172973,9.263333333,8.829614969
A1064,data analytics course,116,3764,232.03,28,10,0.086,1348,,Hyderabad,tablet,data analytics course,0.030818278,2.000258621,8.286785714,5.809593587
A1065,data analytics course,99,4489,183.73,15,6,0.061,1264,05-11-2024,Hyderabad,desktop,online data analytic,0.02205391,1.855858586,12.24866667,6.879660371
A1066,data analytics course,172,4441,221.18,14,8,0.047,1771,,Hyderabad,mobile,analytics for data,0.038730016,1.285930233,15.79857143,8.007053079
A1067,data analytics course,138,5751,199.11,26,9,0.052,1337,10-11-2024,Delhi,desktop,data analitics online,0.023995827,1.442826087,7.658076923,6.714881221
A1068,data analytics course,84,4036,234.22,23,10,0.119,1287,,Delhi,desktop,learn data analytics,0.020812686,2.788333333,10.18347826,5.494833917
A1069,data analytics course,124,4942,240.59,18,3,0.024,1922,16-11-2024,Pune,desktop,learn data analytics,0.025091056,1.940241935,13.36611111,7.988694459
A1070,data analytics course,122,4989,215.48,12,5,0.041,1975,,Hyderabad,mobile,data analitics online,0.024453798,1.766229508,17.95666667,9.165583813
A1071,data analytics course,180,3006,228.14,22,7,0.039,1556,04-11-2024,Hyderabad,tablet,learn data analytics,0.05988024,1.267444444,10.37,6.820373455
A1072,data analytics course,133,3728,199.13,11,10,0.046,1505,09-11-2024,Hyderabad,desktop,data analitics online,0.035675966,1.497218045,18.10272727,7.557876764
A1073,data analytics course,164,3734,225.39,27,8,0.04,1728,,Hyderabad,tablet,learn data analytics,0.043920728,1.374329268,8.347777778,7.666711034
A1074,data analytics course,150,4621,246.3,15,6,0.049,1554,09-11-2024,Hyderabad,desktop,data analitics online,0.032460506,1.642,16.42,6.309378806
A1075,data analytics course,97,3212,212.55,27,10,0.103,1994,,Hyderabad,desktop,analytics for data,0.030199253,2.191237113,7.872222222,9.381322042
A1076,data analytics course,128,4225,228.24,30,4,0.031,1618,,Delhi,mobile,learn data analytics,0.030295858,1.783125,7.608,7.089029092
A1077,data analytics course,99,4779,233.78,26,10,0.101,1086,05-11-2024,Hyderabad,desktop,online data analytic,0.020715631,2.361414141,8.991538462,4.645393105
A1078,data analytics course,86,5352,234.05,11,5,0.058,1364,09-11-2024,Pune,tablet,online data analytic,0.016068759,2.721511628,21.27727273,5.82781457
A1079,data analytics course,118,5405,187.28,25,7,0.058,1836,05-11-2024,Pune,tablet,analytics for data,0.021831637,1.587118644,7.4912,9.803502777
A1080,data analytics course,127,5430,199.13,14,6,0.047,1932,,Pune,mobile,analytics for data,0.023388582,1.567952756,14.22357143,9.70220459
A1081,data analytics course,83,4808,241.35,20,7,0.084,1038,,Delhi,mobile,learn data analytics,0.017262895,2.907831325,12.0675,4.300807955
A1082,data analytics course,149,3587,217.53,23,8,0.046,1505,,Pune,mobile,data analitics online,0.04153889,1.459932886,9.457826087,6.918585942
A1083,data analytics course,168,4683,215.28,30,8,0.048,1327,,Hyderabad,mobile,data analitics online,0.035874439,1.281428571,7.176,6.164065403
A1084,data analytics course,112,5814,227.38,11,8,0.071,1467,03-11-2024,Delhi,tablet,analytics for data,0.019263846,2.030178571,20.67090909,6.451754772
A1085,data analytics course,123,3292,233.2,28,6,0.049,1174,19-11-2024,Hyderabad,desktop,data anaytics training,0.037363305,1.895934959,8.328571429,5.034305317
A1086,data analytics course,174,4305,206.02,20,3,0.034,1057,,Hyderabad,desktop,learn data analytics,0.040418118,1.184022989,10.301,5.130569848
A1087,data analytics course,143,4368,215.57,27,7,0.049,1199,,Pune,tablet,analytics for data,0.032738095,1.507482517,7.984074074,5.561998423
A1088,data analytics course,195,5935,209.68,23,9,0.046,1966,07-11-2024,Pune,tablet,online data analytic,0.032855939,1.075282051,9.116521739,9.376192293
A1089,data analytics course,176,5847,241.04,13,6,0.034,1194,02-11-2024,Hyderabad,desktop,online data analytic,0.030100906,1.369545455,18.54153846,4.953534683
A1090,data analytics course,141,4851,227.39,28,5,0.046,1821,,Hyderabad,desktop,analytics for data,0.029066172,1.612695035,8.121071429,8.008267734
A1091,data analytics course,108,4710,204.16,19,10,0.093,1731,,Delhi,tablet,data analitics online,0.022929936,1.89037037,10.74526316,8.478644201
A1092,data analytics course,112,3345,215.57,11,6,0.047,1859,23-11-2024,Delhi,tablet,analytics for data,0.03348281,1.924732143,19.59727273,8.623648931
A1093,data analytics course,139,5903,184.41,23,9,0.046,1188,,Delhi,tablet,online data analytic,0.023547349,1.326690647,8.017826087,6.442166911
A1094,data analytics course,145,5004,216.45,22,5,0.034,1496,01-11-2024,Pune,tablet,data analitics online,0.028976819,1.492758621,9.838636364,6.911526912
A1095,data analytics course,183,3947,197.3,15,8,0.044,1645,14-11-2024,Delhi,desktop,data anaytics training,0.046364327,1.078142077,13.15333333,8.33755702
A1096,data analytics course,113,3690,229.42,20,5,0.044,1915,28-11-2024,Hyderabad,tablet,learn data analytics,0.030623306,2.030265487,11.471,8.347136257
A1097,data analytics course,101,5943,187.32,27,6,0.059,1614,15-11-2024,Pune,tablet,data analitics online,0.016994784,1.854653465,6.937777778,8.616271621
A1098,data analytics course,189,5357,222.5,24,3,0.05,1839,25-11-2024,Pune,tablet,data analytics course,0.035280941,1.177248677,9.270833333,8.265168539
A1099,data analytics course,154,3596,236.14,30,9,0.058,1036,,Hyderabad,tablet,online data analytic,0.042825362,1.533376623,7.871333333,4.387227916
A1100,data analytics course,179,5162,246.76,16,5,0.05,1052,29-11-2024,Delhi,desktop,online data analytic,0.034676482,1.378547486,15.4225,4.263251743
A1101,data analytics course,148,3747,244.41,18,8,0.054,1092,,Hyderabad,tablet,learn data analytics,0.039498265,1.651418919,13.57833333,4.467902295
A1102,data analytics course,177,4822,197.03,26,9,0.051,1909,04-11-2024,Delhi,mobile,online data analytic,0.036706761,1.113163842,7.578076923,9.688879866
A1103,data analytics course,119,5800,221.36,11,8,0.046,1505,,Pune,desktop,analytics for data,0.020517241,1.860168067,20.12363636,6.798879653
A1104,data analytics course,89,3594,215.57,14,6,0.067,1026,,Hyderabad,tablet,data analytics course,0.024763495,2.422134831,15.39785714,4.759474881
A1105,data analytics course,146,4765,230.22,23,5,0.034,1944,,Hyderabad,tablet,analytics for data,0.030640084,1.576849315,10.00956522,8.444096951
A1106,data analytics course,109,4128,183.65,12,5,0.046,1505,30-11-2024,Hyderabad,desktop,data analitics online,0.026405039,1.684862385,15.30416667,8.19493602
A1107,data analytics course,159,5127,197.16,21,4,0.025,1867,03-11-2024,Hyderabad,tablet,learn data analytics,0.031012288,1.24,9.388571429,9.469466423
A1108,data analytics course,144,5674,235.36,12,3,0.021,1505,22-11-2024,Hyderabad,desktop,analytics for data,0.025378921,1.634444444,19.61333333,6.394459551
A1109,data analytics course,122,3793,237.22,19,8,0.066,1842,20-11-2024,Hyderabad,tablet,online data analytic,0.032164514,1.94442623,12.48526316,7.764943934
A1110,data analytics course,112,4315,235.33,28,9,0.08,1116,,Hyderabad,mobile,data analytics course,0.025955968,2.101160714,8.404642857,4.742276803
A1111,data analytics course,174,4704,192.32,21,10,0.049,1501,,Hyderabad,mobile,learn data analytics,0.036989796,1.105287356,9.158095238,7.804700499
A1112,data analytics course,168,3349,235.6,23,9,0.054,1894,09-11-2024,Hyderabad,mobile,online data analytic,0.050164228,1.402380952,10.24347826,8.039049236
A1113,data analytics course,173,3501,223.9,28,10,0.044,1179,,Delhi,mobile,data analytics course,0.049414453,1.294219653,7.996428571,5.265743636
A1114,data analytics course,91,4518.5,203.52,20,9,0.099,1838,,Pune,desktop,data analytics course,0.020139427,2.236483516,10.176,9.031053459
A1115,data analytics course,140,5405,195.69,21,8,0.046,1094,,Hyderabad,desktop,data anaytics training,0.025901943,1.397785714,9.318571429,5.59047473
A1116,data analytics course,93,3425,229.76,26,4,0.043,1344,,Delhi,mobile,online data analytic,0.027153285,2.470537634,8.836923077,5.849582173
A1117,data analytics course,114,5263,189.13,23,5,0.044,1434,,Hyderabad,mobile,data analytics course,0.02166065,1.659035088,8.223043478,7.582086396
A1118,data analytics course,172,3889,215.57,21,10,0.046,1766,16-11-2024,Hyderabad,tablet,online data analytic,0.044227308,1.253313953,10.2652381,8.192234541
A1119,data analytics course,188,3327,193.76,24,6,0.047,1220,,Pune,tablet,online data analytic,0.056507364,1.030638298,8.073333333,6.296449216
A1120,data analytics course,117,4518.5,214.18,29,4,0.034,1348,,Hyderabad,mobile,learn data analytics,0.025893549,1.830598291,7.385517241,6.293771594
A1121,data analytics course,113,5471,215.57,27,9,0.038,1123,23-11-2024,Hyderabad,mobile,analytics for data,0.020654359,1.907699115,7.984074074,5.209444728
A1122,data analytics course,109,3550,240.33,14,8,0.073,1982,24-11-2024,Hyderabad,tablet,learn data analytics,0.030704225,2.204862385,17.16642857,8.246993717
A1123,data analytics course,174,3178,225.67,18,10,0.057,1140,,Hyderabad,desktop,data analitics online,0.054751416,1.296954023,12.53722222,5.051624053
A1124,data analytics course,96,4673,192.88,24,5,0.052,1962,10-11-2024,Hyderabad,mobile,learn data analytics,0.020543548,2.009166667,8.036666667,10.17212775
A1125,data analytics course,110,4254,187.87,11,4,0.046,1172,04-11-2024,Hyderabad,mobile,data anaytics training,0.025858016,1.707909091,17.07909091,6.23835631
A1126,data analytics course,163,3658,237.63,23,7,0.043,1699,23-11-2024,Delhi,tablet,online data analytic,0.044559869,1.457852761,10.33173913,7.149770652
A1127,data analytics course,161,5319,235.98,13,4,0.025,1423,18-11-2024,Delhi,mobile,learn data analytics,0.030268848,1.465714286,18.15230769,6.030172048
A1128,data analytics course,195,5278,193.49,30,7,0.047,1456,,Hyderabad,mobile,data analytics course,0.036945813,0.99225641,6.449666667,7.524936689
A1129,data analytics course,84,3755,218.88,14,9,0.047,1299,,Delhi,tablet,analytics for data,0.022370173,2.605714286,15.63428571,5.934758772
A1130,data analytics course,113,4580,194.82,11,6,0.059,1248,,Delhi,tablet,data analytics course,0.024672489,1.724070796,17.71090909,6.405913151
A1131,data analytics course,117,3809,225.14,12,5,0.032,1495,09-11-2024,Pune,desktop,data anaytics training,0.030716724,1.924273504,18.76166667,6.640312694
A1132,data analytics course,135,5118,219.99,27,6,0.044,1089,20-11-2024,Hyderabad,mobile,online data analytic,0.026377491,1.629555556,8.147777778,4.95022501
A1133,data analytics course,92,5766,186.14,28,7,0.076,1013,,Hyderabad,tablet,data anaytics training,0.015955602,2.02326087,6.647857143,5.442140324
A1134,data analytics course,188,3934,206.21,16,9,0.048,1505,,Pune,desktop,data analytics course,0.04778851,1.096861702,12.888125,7.298385141
A1135,data analytics course,101,4724,228.38,13,7,0.034,1243,20-11-2024,Hyderabad,desktop,learn data analytics,0.021380186,2.261188119,17.56769231,5.442683247
A1136,data analytics course,111,5895,205.25,29,4,0.036,1693,04-11-2024,Hyderabad,mobile,data analytics course,0.018829517,1.849099099,7.077586207,8.248477467
A1137,data analytics course,122,4048,202.23,28,10,0.082,1505,,Hyderabad,mobile,online data analytic,0.03013834,1.657622951,7.2225,7.442021461
A1138,data analytics course,99,3169,237.68,21,6,0.046,1509,22-11-2024,Pune,mobile,online data analytic,0.031240139,2.400808081,11.31809524,6.348872434
A1139,data analytics course,154,4535,229.29,11,3,0.019,1434,,Hyderabad,tablet,data anaytics training,0.033958104,1.488896104,20.84454545,6.254088709
A1140,data analytics course,129,3849,249.29,22,10,0.078,1767,,Hyderabad,desktop,analytics for data,0.033515199,1.93248062,11.33136364,7.08813029
A1141,data analytics course,139,4259,182.98,10,10,0.031,1048,,Hyderabad,mobile,analytics for data,0.032636769,1.316402878,18.298,5.727401902
A1142,data analytics course,143,3628,215.57,18,9,0.063,1566,,Pune,tablet,data analytics course,0.039415656,1.507482517,11.97611111,7.26446166
A1143,data analytics course,80,3269,215.57,12,4,0.05,1753,,Delhi,desktop,data analitics online,0.024472316,2.694625,17.96416667,8.131929304
A1144,data analytics course,134,3724,188.02,26,9,0.047,1891,,Pune,desktop,online data analytic,0.035982814,1.403134328,7.231538462,10.0574407
A1145,data analytics course,174,4838,242.35,21,3,0.017,1599,22-11-2024,Hyderabad,desktop,data analitics online,0.035965275,1.392816092,11.54047619,6.597895606
A1146,data analytics course,196,4524,192.01,15,8,0.041,1048,13-11-2024,Hyderabad,desktop,data analytics course,0.043324492,0.979642857,12.80066667,5.45804906
A1147,data analytics course,194,4694,228.15,17,7,0.036,1874,14-11-2024,Hyderabad,tablet,learn data analytics,0.041329357,1.176030928,13.42058824,8.213894368
A1148,data analytics course,180,4326,221.67,13,7,0.046,1427,,Delhi,tablet,online data analytic,0.041608877,1.2315,17.05153846,6.43749718
A1149,data analytics course,100,4235,222.61,10,8,0.051,1814,,Hyderabad,desktop,data anaytics training,0.023612751,2.2261,22.261,8.148780378
A1150,data analytics course,153,4367,184.51,29,9,0.059,1507,13-11-2024,Hyderabad,mobile,analytics for data,0.035035493,1.205947712,6.362413793,8.167578993
A1151,data analytics course,110,3748,198.68,24,9,0.082,1041,,Delhi,tablet,data anaytics training,0.029348986,1.806181818,8.278333333,5.239581236
A1152,data analytics course,116,3901,215.57,21,4,0.034,1483,13-11-2024,Hyderabad,tablet,online data analytic,0.029735965,1.858362069,10.2652381,6.879435914
A1153,data analytics course,156,3335,236.98,29,7,0.045,1143,14-11-2024,Delhi,desktop,data analytics course,0.046776612,1.519102564,8.171724138,4.823191831
A1154,data analytics course,177,5671,210.74,19,6,0.058,1172,,Hyderabad,tablet,data analytics course,0.031211427,1.190621469,11.09157895,5.561355224
A1155,data analytics course,89,3408,214.78,25,9,0.101,1898,,Pune,mobile,data analytics course,0.026115023,2.413258427,8.5912,8.836949437
A1156,data analytics course,155,4422,183.96,14,8,0.037,1143,,Pune,mobile,analytics for data,0.035052013,1.18683871,13.14,6.213307241
A1157,data analytics course,123,3097,190.55,20,8,0.065,1640,,Delhi,tablet,data analytics course,0.039715854,1.549186992,9.5275,8.606664917
A1158,data analytics course,102,3621,244.82,10,5,0.049,1375,,Pune,mobile,learn data analytics,0.028169014,2.400196078,24.482,5.616371212
A1159,data analytics course,150,4806,244.53,15,9,0.046,1602,,Pune,mobile,data analitics online,0.031210986,1.6302,16.302,6.551343393
A1160,data analytics course,160,4518.5,245.87,11,6,0.037,1505,05-11-2024,Delhi,desktop,analytics for data,0.035409981,1.5366875,22.35181818,6.121120918
A1161,data analytics course,143,3901,191.38,29,4,0.053,1786,24-11-2024,Hyderabad,mobile,learn data analytics,0.036657267,1.338321678,6.599310345,9.332218623
A1162,data analytics course,178,4673,222.46,29,6,0.051,1219,,Pune,tablet,online data analytic,0.038091162,1.249775281,7.671034483,5.479636789
A1163,data analytics course,152,3542,208.96,13,9,0.046,1735,,Delhi,desktop,data analytics course,0.042913608,1.374736842,16.07384615,8.303024502
A1164,data analytics course,139,4347,238.19,26,5,0.046,1384,,Pune,tablet,analytics for data,0.031976075,1.713597122,9.161153846,5.810487426
A1165,data analytics course,175,5014,247.24,25,7,0.04,1499,,Pune,mobile,learn data analytics,0.034902274,1.4128,9.8896,6.0629348
A1166,data analytics course,92,4185,218.46,21,9,0.035,1567,,Delhi,mobile,data analitics online,0.021983274,2.374565217,10.40285714,7.172937838
A1167,data analytics course,123,5964,215.57,17,6,0.046,1363,,Pune,desktop,data anaytics training,0.020623742,1.752601626,12.68058824,6.322772185
A1168,data analytics course,86,5124,183.71,13,10,0.116,1137,,Hyderabad,mobile,data anaytics training,0.016783763,2.136162791,14.13153846,6.18910239
A1169,data analytics course,117,4162,238.08,28,10,0.085,1186,,Pune,mobile,online data analytic,0.028111485,2.034871795,8.502857143,4.981518817
A1170,data analytics course,146,4330,191.9,20,3,0.021,1748,,Hyderabad,mobile,online data analytic,0.033718245,1.314383562,9.595,9.108910891
A1171,data analytics course,89,3268,215.57,17,4,0.045,1233,,Hyderabad,desktop,online data analytic,0.027233782,2.422134831,12.68058824,5.719719813
A1172,data analytics course,195,3483,213.99,27,7,0.036,1796,,Hyderabad,desktop,learn data analytics,0.055986219,1.097384615,7.925555556,8.392915557
A1173,data analytics course,170,4519,240.63,22,7,0.041,1012,,Delhi,mobile,analytics for data,0.037618942,1.415470588,10.93772727,4.205626896
A1174,data analytics course,97,3605,240.29,21,7,0.045,1682,10-11-2024,Hyderabad,desktop,data analitics online,0.026907074,2.477216495,11.44238095,6.999875151
A1175,data analytics course,159,5076,204.97,15,10,0.063,1638,,Delhi,tablet,data analytics course,0.031323877,1.289119497,13.66466667,7.991413378
A1176,data analytics course,131,5352,225.86,24,10,0.046,1961,20-11-2024,Hyderabad,mobile,online data analytic,0.024476831,1.724122137,9.410833333,8.682369609
A1177,data analytics course,108,5503,185.26,11,7,0.065,1921,,Pune,mobile,data analitics online,0.019625659,1.71537037,16.84181818,10.36921084
A1178,data analytics course,93,4308,209.83,19,9,0.097,1694,20-11-2024,Hyderabad,mobile,data analytics course,0.021587744,2.256236559,11.04368421,8.073202116
A1179,data analytics course,137,3555,213.5,29,3,0.046,1505,,Hyderabad,desktop,data analytics course,0.038537271,1.558394161,7.362068966,7.049180328
A1180,data analytics course,81,5615,193.14,30,6,0.074,1255,,Hyderabad,mobile,analytics for data,0.014425646,2.384444444,6.438,6.497877188
A1181,data analytics course,160,4743,206.22,23,10,0.062,1825,,Pune,mobile,learn data analytics,0.033733924,1.288875,8.966086957,8.849772088
A1182,data analytics course,186,3337,183.58,16,8,0.043,1045,30-11-2024,Hyderabad,desktop,online data analytic,0.055738687,0.986989247,11.47375,5.692341214
A1183,data analytics course,105,3234,238.8,27,10,0.095,1248,,Delhi,desktop,online data analytic,0.032467532,2.274285714,8.844444444,5.226130653
A1184,data analytics course,131,3913,203.69,14,10,0.046,1079,,Delhi,desktop,data anaytics training,0.03347815,1.554885496,14.54928571,5.297265452
A1185,data analytics course,129,3208,204.2,18,8,0.032,1456,29-11-2024,Hyderabad,desktop,learn data analytics,0.04021197,1.582945736,11.34444444,7.130264447
A1186,data analytics course,187,5972,220.64,30,7,0.037,1980,14-11-2024,Delhi,desktop,data analytics course,0.031312793,1.179893048,7.354666667,8.973894126
A1187,data analytics course,167,3662,235.43,10,7,0.042,1684,25-11-2024,Delhi,mobile,data anaytics training,0.045603495,1.409760479,23.543,7.152869218
